2018-02-17 00:14:12 install libcurl3:amd64 <none> 7.38.0-4+deb8u9
2018-02-17 00:14:12 status half-installed libcurl3:amd64 7.38.0-4+deb8u9
2018-02-17 00:14:12 status unpacked libcurl3:amd64 7.38.0-4+deb8u9
2018-02-17 00:14:12 status unpacked libcurl3:amd64 7.38.0-4+deb8u9
2018-02-17 00:14:12 install libglib2.0-0:amd64 <none> 2.42.1-1+b1
2018-02-17 00:14:12 status half-installed libglib2.0-0:amd64 2.42.1-1+b1
2018-02-17 00:14:12 status unpacked libglib2.0-0:amd64 2.42.1-1+b1
2018-02-17 00:14:12 status unpacked libglib2.0-0:amd64 2.42.1-1+b1
2018-02-17 00:14:12 install libgomp1:amd64 <none> 4.9.2-10
2018-02-17 00:14:12 status half-installed libgomp1:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked libgomp1:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked libgomp1:amd64 4.9.2-10
2018-02-17 00:14:12 install libitm1:amd64 <none> 4.9.2-10
2018-02-17 00:14:12 status half-installed libitm1:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked libitm1:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked libitm1:amd64 4.9.2-10
2018-02-17 00:14:12 install liblsan0:amd64 <none> 4.9.2-10
2018-02-17 00:14:12 status half-installed liblsan0:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked liblsan0:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked liblsan0:amd64 4.9.2-10
2018-02-17 00:14:12 install libmpfr4:amd64 <none> 3.1.2-2
2018-02-17 00:14:12 status half-installed libmpfr4:amd64 3.1.2-2
2018-02-17 00:14:12 status unpacked libmpfr4:amd64 3.1.2-2
2018-02-17 00:14:12 status unpacked libmpfr4:amd64 3.1.2-2
2018-02-17 00:14:12 install libquadmath0:amd64 <none> 4.9.2-10
2018-02-17 00:14:12 status half-installed libquadmath0:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked libquadmath0:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked libquadmath0:amd64 4.9.2-10
2018-02-17 00:14:12 install libsigsegv2:amd64 <none> 2.10-4+b1
2018-02-17 00:14:12 status half-installed libsigsegv2:amd64 2.10-4+b1
2018-02-17 00:14:12 status unpacked libsigsegv2:amd64 2.10-4+b1
2018-02-17 00:14:12 status unpacked libsigsegv2:amd64 2.10-4+b1
2018-02-17 00:14:12 install libtsan0:amd64 <none> 4.9.2-10
2018-02-17 00:14:12 status half-installed libtsan0:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked libtsan0:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked libtsan0:amd64 4.9.2-10
2018-02-17 00:14:12 install libubsan0:amd64 <none> 4.9.2-10
2018-02-17 00:14:12 status half-installed libubsan0:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked libubsan0:amd64 4.9.2-10
2018-02-17 00:14:12 status unpacked libubsan0:amd64 4.9.2-10
2018-02-17 00:14:12 install libmpc3:amd64 <none> 1.0.2-1
2018-02-17 00:14:12 status half-installed libmpc3:amd64 1.0.2-1
2018-02-17 00:14:12 status unpacked libmpc3:amd64 1.0.2-1
2018-02-17 00:14:12 status unpacked libmpc3:amd64 1.0.2-1
2018-02-17 00:14:12 install bzip2:amd64 <none> 1.0.6-7+b3
2018-02-17 00:14:12 status half-installed bzip2:amd64 1.0.6-7+b3
2018-02-17 00:14:12 status unpacked bzip2:amd64 1.0.6-7+b3
2018-02-17 00:14:12 status unpacked bzip2:amd64 1.0.6-7+b3
2018-02-17 00:14:12 install file:amd64 <none> 1:5.22+15-2+deb8u3
2018-02-17 00:14:12 status half-installed file:amd64 1:5.22+15-2+deb8u3
2018-02-17 00:14:12 status unpacked file:amd64 1:5.22+15-2+deb8u3
2018-02-17 00:14:12 status unpacked file:amd64 1:5.22+15-2+deb8u3
2018-02-17 00:14:12 install m4:amd64 <none> 1.4.17-4
2018-02-17 00:14:12 status half-installed m4:amd64 1.4.17-4
2018-02-17 00:14:12 status unpacked m4:amd64 1.4.17-4
2018-02-17 00:14:12 status unpacked m4:amd64 1.4.17-4
2018-02-17 00:14:12 install patch:amd64 <none> 2.7.5-1
2018-02-17 00:14:12 status half-installed patch:amd64 2.7.5-1
2018-02-17 00:14:12 status unpacked patch:amd64 2.7.5-1
2018-02-17 00:14:12 status unpacked patch:amd64 2.7.5-1
2018-02-17 00:14:13 install xz-utils:amd64 <none> 5.1.1alpha+20120614-2+b3
2018-02-17 00:14:13 status half-installed xz-utils:amd64 5.1.1alpha+20120614-2+b3
2018-02-17 00:14:13 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
